1760719025.720796 server started (17848): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1760719025.720829 on Darwin 23.4.0 Darwin Kernel Version 23.4.0: Wed Feb 21 21:51:37 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8112
1760719025.720835 using libevent 2.1.12-stable select
1760719025.720842 using utf8proc 2.11.0
1760719025.720847 using ncurses 6.5 20240427
1760719025.738324 cmd_parse_build_commands 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1760719025.738326 cmd_parse_build_commands 0:17: C-y
1760719025.738331 cmd_parse_build_commands 0:18 0:0: copy-mode
1760719025.738333 cmd_parse_build_commands 0:18 0:1: -q
1760719025.738335 cmd_parse_build_commands 0:18 1:0: send-keys
1760719025.738337 cmd_parse_build_commands 0:18 1:1: -l
1760719025.738339 cmd_parse_build_commands 0:18 1:2: --
1760719025.738342 cmd_parse_build_commands 0:18 1:3: #{q:mouse_word}
1760719025.738344 cmd_parse_build_commands 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1760719025.738346 cmd_parse_build_commands 0:20: c
1760719025.738348 cmd_parse_build_commands 0:21 0:0: copy-mode
1760719025.738350 cmd_parse_build_commands 0:21 0:1: -q
1760719025.738352 cmd_parse_build_commands 0:21 1:0: set-buffer
1760719025.738354 cmd_parse_build_commands 0:21 1:1: --
1760719025.738356 cmd_parse_build_commands 0:21 1:2: #{q:mouse_word}
1760719025.738358 cmd_parse_build_commands 0:22: #{?mouse_line,Copy Line,}
1760719025.738360 cmd_parse_build_commands 0:23: l
1760719025.738363 cmd_parse_build_commands 0:24 0:0: copy-mode
1760719025.738365 cmd_parse_build_commands 0:24 0:1: -q
1760719025.738367 cmd_parse_build_commands 0:24 1:0: set-buffer
1760719025.738369 cmd_parse_build_commands 0:24 1:1: --
1760719025.738371 cmd_parse_build_commands 0:24 1:2: #{q:mouse_line}
1760719025.738373 cmd_parse_build_commands 0:25: 
1760719025.738375 cmd_parse_build_commands 0:26: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1760719025.738377 cmd_parse_build_commands 0:27: C-h
1760719025.738380 cmd_parse_build_commands 0:28 0:0: copy-mode
1760719025.738382 cmd_parse_build_commands 0:28 0:1: -q
1760719025.738384 cmd_parse_build_commands 0:28 1:0: send-keys
1760719025.738386 cmd_parse_build_commands 0:28 1:1: -l
1760719025.738388 cmd_parse_build_commands 0:28 1:2: --
1760719025.738390 cmd_parse_build_commands 0:28 1:3: #{q:mouse_hyperlink}
1760719025.738392 cmd_parse_build_commands 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1760719025.738394 cmd_parse_build_commands 0:30: h
1760719025.738396 cmd_parse_build_commands 0:31 0:0: copy-mode
1760719025.738398 cmd_parse_build_commands 0:31 0:1: -q
1760719025.738400 cmd_parse_build_commands 0:31 1:0: set-buffer
1760719025.738402 cmd_parse_build_commands 0:31 1:1: --
1760719025.738404 cmd_parse_build_commands 0:31 1:2: #{q:mouse_hyperlink}
1760719025.738407 cmd_parse_build_commands 0:32: 
1760719025.738409 cmd_parse_build_commands 0:33: Horizontal Split
1760719025.738411 cmd_parse_build_commands 0:34: h
1760719025.738413 cmd_parse_build_commands 0:35 0:0: split-window
1760719025.738415 cmd_parse_build_commands 0:35 0:1: -h
1760719025.738417 cmd_parse_build_commands 0:36: Vertical Split
1760719025.738419 cmd_parse_build_commands 0:37: v
1760719025.738421 cmd_parse_build_commands 0:38 0:0: split-window
1760719025.738423 cmd_parse_build_commands 0:38 0:1: -v
1760719025.738425 cmd_parse_build_commands 0:39: 
1760719025.738428 cmd_parse_build_commands 0:40: #{?#{>:#{window_panes},1},,-}Swap Up
1760719025.738430 cmd_parse_build_commands 0:41: u
1760719025.738432 cmd_parse_build_commands 0:42 0:0: swap-pane
1760719025.738434 cmd_parse_build_commands 0:42 0:1: -U
1760719025.738436 cmd_parse_build_commands 0:43: #{?#{>:#{window_panes},1},,-}Swap Down
1760719025.738438 cmd_parse_build_commands 0:44: d
1760719025.738440 cmd_parse_build_commands 0:45 0:0: swap-pane
1760719025.738442 cmd_parse_build_commands 0:45 0:1: -D
1760719025.738444 cmd_parse_build_commands 0:46: #{?pane_marked_set,,-}Swap Marked
1760719025.738447 cmd_parse_build_commands 0:47: s
1760719025.738449 cmd_parse_build_commands 0:48 0:0: swap-pane
1760719025.738451 cmd_parse_build_commands 0:49: 
1760719025.738453 cmd_parse_build_commands 0:50: Kill
1760719025.738455 cmd_parse_build_commands 0:51: X
1760719025.738457 cmd_parse_build_commands 0:52 0:0: kill-pane
1760719025.738459 cmd_parse_build_commands 0:53: Respawn
1760719025.738461 cmd_parse_build_commands 0:54: R
1760719025.738463 cmd_parse_build_commands 0:55 0:0: respawn-pane
1760719025.738465 cmd_parse_build_commands 0:55 0:1: -k
1760719025.738470 cmd_parse_build_commands 0:56: #{?pane_marked,Unmark,Mark}
1760719025.738472 cmd_parse_build_commands 0:57: m
1760719025.738475 cmd_parse_build_commands 0:58 0:0: select-pane
1760719025.738477 cmd_parse_build_commands 0:58 0:1: -m
1760719025.738479 cmd_parse_build_commands 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1760719025.738481 cmd_parse_build_commands 0:60: z
1760719025.738483 cmd_parse_build_commands 0:61 0:0: resize-pane
1760719025.738485 cmd_parse_build_commands 0:61 0:1: -Z
1760719025.738489 cmd_parse_build_commands 0:0: send
1760719025.738491 cmd_parse_build_commands 0:1: -X
1760719025.738493 cmd_parse_build_commands 0:2: history-top
1760719025.738496 args_parse_flags: next -X
1760719025.738498 args_parse_flags: -X
1760719025.738500 args_parse_flags: next history-top
1760719025.738503 args_parse: flags end at 2 of 3
1760719025.738505 args_parse: 2 = history-top (type STRING)
1760719025.738509 cmd_parse_build_commands: send-keys -X history-top
1760719025.738512 cmd_parse_build_commands 0:0: send
1760719025.738514 cmd_parse_build_commands 0:1: -X
1760719025.738516 cmd_parse_build_commands 0:2: history-bottom
1760719025.738519 args_parse_flags: next -X
1760719025.738521 args_parse_flags: -X
1760719025.738523 args_parse_flags: next history-bottom
1760719025.738525 args_parse: flags end at 2 of 3
1760719025.738527 args_parse: 2 = history-bottom (type STRING)
1760719025.738531 cmd_parse_build_commands: send-keys -X history-bottom
1760719025.738534 cmd_parse_build_commands 0:0: if
1760719025.738536 cmd_parse_build_commands 0:1: -F
1760719025.738538 cmd_parse_build_commands 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1760719025.738541 cmd_parse_build_commands 0:3: copy-mode -t=
1760719025.738543 cmd_parse_build_commands 1:0: send
1760719025.738545 cmd_parse_build_commands 1:1: -Xt=
1760719025.738547 cmd_parse_build_commands 1:2: search-backward
1760719025.738549 cmd_parse_build_commands 1:3: #{q:mouse_word}
1760719025.738552 args_parse_flags: next -F
1760719025.738554 args_parse_flags: -F
1760719025.738556 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1760719025.738558 args_parse: flags end at 2 of 4
1760719025.738561 args_parse: 2 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1} (type STRING)
1760719025.738563 args_parse: 3 = copy-mode -t= (type STRING)
1760719025.738567 args_parse_flags: next -Xt=
1760719025.738569 args_parse_flags: -X
1760719025.738571 args_parse_flag_argument: -t = =
1760719025.738573 args_parse_flags: next search-backward
1760719025.738575 args_parse: flags end at 2 of 4
1760719025.738578 args_parse: 2 = search-backward (type STRING)
1760719025.738580 args_parse: 3 = #{q:mouse_word} (type STRING)
1760719025.738589 cmd_parse_build_commands: if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}"
1760719025.738592 cmd_parse_build_commands 0:0: copy-mode
1760719025.738594 cmd_parse_build_commands 0:1: -q
1760719025.738596 cmd_parse_build_commands 1:0: send-keys
1760719025.738598 cmd_parse_build_commands 1:1: -l
1760719025.738600 cmd_parse_build_commands 1:2: --
1760719025.738602 cmd_parse_build_commands 1:3: #{q:mouse_word}
1760719025.738605 args_parse_flags: next -q
1760719025.738607 args_parse_flags: -q
1760719025.738609 args_parse: flags end at 2 of 2
1760719025.738613 args_parse_flags: next -l
1760719025.738615 args_parse_flags: -l
1760719025.738617 args_parse_flags: next --
1760719025.738619 args_parse: flags end at 3 of 4
1760719025.738621 args_parse: 3 = #{q:mouse_word} (type STRING)
1760719025.738626 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_word}"
1760719025.738629 cmd_parse_build_commands 0:0: copy-mode
1760719025.738631 cmd_parse_build_commands 0:1: -q
1760719025.738633 cmd_parse_build_commands 1:0: set-buffer
1760719025.738635 cmd_parse_build_commands 1:1: --
1760719025.738637 cmd_parse_build_commands 1:2: #{q:mouse_word}
1760719025.738639 args_parse_flags: next -q
1760719025.738641 args_parse_flags: -q
1760719025.738644 args_parse: flags end at 2 of 2
1760719025.738651 args_parse_flags: next --
1760719025.738653 args_parse: flags end at 2 of 3
1760719025.738655 args_parse: 2 = #{q:mouse_word} (type STRING)
1760719025.738660 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_word}"
1760719025.738662 cmd_parse_build_commands 0:0: copy-mode
1760719025.738664 cmd_parse_build_commands 0:1: -q
1760719025.738666 cmd_parse_build_commands 1:0: set-buffer
1760719025.738669 cmd_parse_build_commands 1:1: --
1760719025.738671 cmd_parse_build_commands 1:2: #{q:mouse_line}
1760719025.738673 args_parse_flags: next -q
1760719025.738675 args_parse_flags: -q
1760719025.738677 args_parse: flags end at 2 of 2
1760719025.738680 args_parse_flags: next --
1760719025.738682 args_parse: flags end at 2 of 3
1760719025.738685 args_parse: 2 = #{q:mouse_line} (type STRING)
1760719025.738689 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_line}"
1760719025.738692 cmd_parse_build_commands 0:0: copy-mode
1760719025.738694 cmd_parse_build_commands 0:1: -q
1760719025.738696 cmd_parse_build_commands 1:0: send-keys
1760719025.738698 cmd_parse_build_commands 1:1: -l
1760719025.738700 cmd_parse_build_commands 1:2: --
1760719025.738702 cmd_parse_build_commands 1:3: #{q:mouse_hyperlink}
1760719025.738705 args_parse_flags: next -q
1760719025.738706 args_parse_flags: -q
1760719025.738709 args_parse: flags end at 2 of 2
1760719025.738712 args_parse_flags: next -l
1760719025.738714 args_parse_flags: -l
1760719025.738716 args_parse_flags: next --
1760719025.738718 args_parse: flags end at 3 of 4
1760719025.738720 args_parse: 3 = #{q:mouse_hyperlink} (type STRING)
1760719025.738725 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}"
1760719025.738728 cmd_parse_build_commands 0:0: copy-mode
1760719025.738730 cmd_parse_build_commands 0:1: -q
1760719025.738732 cmd_parse_build_commands 1:0: set-buffer
1760719025.738734 cmd_parse_build_commands 1:1: --
1760719025.738736 cmd_parse_build_commands 1:2: #{q:mouse_hyperlink}
1760719025.738739 args_parse_flags: next -q
1760719025.738741 args_parse_flags: -q
1760719025.738743 args_parse: flags end at 2 of 2
1760719025.738746 args_parse_flags: next --
1760719025.738748 args_parse: flags end at 2 of 3
1760719025.738750 args_parse: 2 = #{q:mouse_hyperlink} (type STRING)
1760719025.738754 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_hyperlink}"
1760719025.738757 cmd_parse_build_commands 0:0: split-window
1760719025.738759 cmd_parse_build_commands 0:1: -h
1760719025.738762 args_parse_flags: next -h
1760719025.738764 args_parse_flags: -h
1760719025.738766 args_parse: flags end at 2 of 2
1760719025.738769 cmd_parse_build_commands: split-window -h
1760719025.738772 cmd_parse_build_commands 0:0: split-window
1760719025.738774 cmd_parse_build_commands 0:1: -v
1760719025.738777 args_parse_flags: next -v
1760719025.738779 args_parse_flags: -v
1760719025.738781 args_parse: flags end at 2 of 2
1760719025.738784 cmd_parse_build_commands: split-window -v
1760719025.738787 cmd_parse_build_commands 0:0: swap-pane
1760719025.738789 cmd_parse_build_commands 0:1: -U
1760719025.738792 args_parse_flags: next -U
1760719025.738794 args_parse_flags: -U
1760719025.738796 args_parse: flags end at 2 of 2
1760719025.738799 cmd_parse_build_commands: swap-pane -U
1760719025.738802 cmd_parse_build_commands 0:0: swap-pane
1760719025.738804 cmd_parse_build_commands 0:1: -D
1760719025.738806 args_parse_flags: next -D
1760719025.738808 args_parse_flags: -D
1760719025.738811 args_parse: flags end at 2 of 2
1760719025.738813 cmd_parse_build_commands: swap-pane -D
1760719025.738816 cmd_parse_build_commands 0:0: swap-pane
1760719025.738819 args_parse: flags end at 1 of 1
1760719025.738821 cmd_parse_build_commands: swap-pane
1760719025.738824 cmd_parse_build_commands 0:0: kill-pane
1760719025.738827 args_parse: flags end at 1 of 1
1760719025.738829 cmd_parse_build_commands: kill-pane
1760719025.738832 cmd_parse_build_commands 0:0: respawn-pane
1760719025.738834 cmd_parse_build_commands 0:1: -k
1760719025.738837 args_parse_flags: next -k
1760719025.738841 args_parse_flags: -k
1760719025.738844 args_parse: flags end at 2 of 2
1760719025.738846 cmd_parse_build_commands: respawn-pane -k
1760719025.738849 cmd_parse_build_commands 0:0: select-pane
1760719025.738851 cmd_parse_build_commands 0:1: -m
1760719025.738854 args_parse_flags: next -m
1760719025.738856 args_parse_flags: -m
1760719025.738858 args_parse: flags end at 2 of 2
1760719025.738861 cmd_parse_build_commands: select-pane -m
1760719025.738863 cmd_parse_build_commands 0:0: resize-pane
1760719025.738865 cmd_parse_build_commands 0:1: -Z
1760719025.738868 args_parse_flags: next -Z
1760719025.738870 args_parse_flags: -Z
1760719025.738872 args_parse: flags end at 2 of 2
1760719025.738875 cmd_parse_build_commands: resize-pane -Z
1760719025.738877 args_parse_flags: next -t=
1760719025.738880 args_parse_flag_argument: -t = =
1760719025.738882 args_parse_flags: next -xM
1760719025.738884 args_parse_flag_argument: -x = M
1760719025.738886 args_parse_flags: next -yM
1760719025.738888 args_parse_flag_argument: -y = M
1760719025.738890 args_parse_flags: next -T
1760719025.738892 args_parse_flag_argument: -T = #[align=centre]#{pane_index} (#{pane_id})
1760719025.738895 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1760719025.738897 args_parse: flags end at 6 of 62
1760719025.738899 args_parse: 6 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,} (type STRING)
1760719025.738902 args_parse: 7 = < (type STRING)
1760719025.738906 args_parse: 8 = send-keys -X history-top (type COMMANDS)
1760719025.738908 args_parse: 9 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,} (type STRING)
1760719025.738911 args_parse: 10 = > (type STRING)
1760719025.738915 args_parse: 11 = send-keys -X history-bottom (type COMMANDS)
1760719025.738917 args_parse: 12 =  (type STRING)
1760719025.738920 args_parse: 13 = #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},} (type STRING)
1760719025.738922 args_parse: 14 = C-r (type STRING)
1760719025.738931 args_parse: 15 = if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" (type COMMANDS)
1760719025.738934 args_parse: 16 = #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},} (type STRING)
1760719025.738936 args_parse: 17 = C-y (type STRING)
1760719025.738941 args_parse: 18 = copy-mode -q ; send-keys -l "#{q:mouse_word}" (type COMMANDS)
1760719025.738943 args_parse: 19 = #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},} (type STRING)
1760719025.738946 args_parse: 20 = c (type STRING)
1760719025.738950 args_parse: 21 = copy-mode -q ; set-buffer "#{q:mouse_word}" (type COMMANDS)
1760719025.738952 args_parse: 22 = #{?mouse_line,Copy Line,} (type STRING)
1760719025.738954 args_parse: 23 = l (type STRING)
1760719025.738958 args_parse: 24 = copy-mode -q ; set-buffer "#{q:mouse_line}" (type COMMANDS)
1760719025.738961 args_parse: 25 =  (type STRING)
1760719025.738963 args_parse: 26 = #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1760719025.738966 args_parse: 27 = C-h (type STRING)
1760719025.738970 args_parse: 28 = copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" (type COMMANDS)
1760719025.738972 args_parse: 29 = #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1760719025.738975 args_parse: 30 = h (type STRING)
1760719025.738979 args_parse: 31 = copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" (type COMMANDS)
1760719025.738981 args_parse: 32 =  (type STRING)
1760719025.738984 args_parse: 33 = Horizontal Split (type STRING)
1760719025.738986 args_parse: 34 = h (type STRING)
1760719025.738989 args_parse: 35 = split-window -h (type COMMANDS)
1760719025.738991 args_parse: 36 = Vertical Split (type STRING)
1760719025.738993 args_parse: 37 = v (type STRING)
1760719025.738996 args_parse: 38 = split-window -v (type COMMANDS)
1760719025.738999 args_parse: 39 =  (type STRING)
1760719025.739001 args_parse: 40 = #{?#{>:#{window_panes},1},,-}Swap Up (type STRING)
1760719025.739003 args_parse: 41 = u (type STRING)
1760719025.739009 args_parse: 42 = swap-pane -U (type COMMANDS)
1760719025.739012 args_parse: 43 = #{?#{>:#{window_panes},1},,-}Swap Down (type STRING)
1760719025.739014 args_parse: 44 = d (type STRING)
1760719025.739017 args_parse: 45 = swap-pane -D (type COMMANDS)
1760719025.739019 args_parse: 46 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1760719025.739022 args_parse: 47 = s (type STRING)
1760719025.739024 args_parse: 48 = swap-pane (type COMMANDS)
1760719025.739026 args_parse: 49 =  (type STRING)
1760719025.739029 args_parse: 50 = Kill (type STRING)
1760719025.739031 args_parse: 51 = X (type STRING)
1760719025.739034 args_parse: 52 = kill-pane (type COMMANDS)
1760719025.739036 args_parse: 53 = Respawn (type STRING)
1760719025.739038 args_parse: 54 = R (type STRING)
1760719025.739041 args_parse: 55 = respawn-pane -k (type COMMANDS)
1760719025.739043 args_parse: 56 = #{?pane_marked,Unmark,Mark} (type STRING)
1760719025.739046 args_parse: 57 = m (type STRING)
1760719025.739049 args_parse: 58 = select-pane -m (type COMMANDS)
1760719025.739052 args_parse: 59 = #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom} (type STRING)
1760719025.739054 args_parse: 60 = z (type STRING)
1760719025.739057 args_parse: 61 = resize-pane -Z (type COMMANDS)
1760719025.739127 cmd_parse_build_commands: display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
1760719025.739130 args_parse_flags: next -Ft=
1760719025.739132 args_parse_flags: -F
1760719025.739135 args_parse_flag_argument: -t = =
1760719025.739137 args_parse_flags: next #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1760719025.739140 args_parse: flags end at 2 of 5
1760719025.739142 args_parse: 2 = #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}} (type STRING)
1760719025.739146 args_parse: 3 = select-pane -t = ; send-keys -M (type COMMANDS)
1760719025.739209 args_parse: 4 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1760719025.739279 cmd_parse_build_commands: if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1760719025.739282 args_parse_flags: next -n
1760719025.739284 args_parse_flags: -n
1760719025.739286 args_parse_flags: next MouseDown3Pane
1760719025.739288 args_parse: flags end at 2 of 4
1760719025.739291 args_parse: 2 = MouseDown3Pane (type STRING)
1760719025.739357 args_parse: 3 = if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } } (type COMMANDS)
